"from","to","weight","from_name","from_size","from_color","from_Region","from_Latitude","from_Longitude","to_name","to_size","to_color","to_Region","to_Latitude","to_Longitude"
1,3,9.052676,"BaC",12.15881,"#FDAE61",1,26.59,-111.79,"LaV",3.5337565,"#FDAE61",1,24.04,-109.99
1,4,9.71615,"BaC",12.15881,"#FDAE61",1,26.59,-111.79,"Lig",4.731355,"#FDAE61",1,25.73,-111.27
1,5,12.38248,"BaC",12.15881,"#FDAE61",1,26.59,-111.79,"PtC",4.684652,"#FDAE61",1,24.19,-111.15
1,6,6.539983,"BaC",12.15881,"#FDAE61",1,26.59,-111.79,"PtP",10.925375,"#FDAE61",1,29.03,-113.9
1,8,7.922799,"BaC",12.15881,"#FDAE61",1,26.59,-111.79,"SnE",11.82822,"#FDAE61",1,24.45,-110.7
1,10,6.95713,"BaC",12.15881,"#FDAE61",1,26.59,-111.79,"SnI",5.466695,"#FDAE61",1,27.29,-113.02
1,11,6.766322,"BaC",12.15881,"#FDAE61",1,26.59,-111.79,"StR",6.859545,"#FDAE61",1,24.91,-111.62
2,6,2.655055,"Ctv",3.880886,"#FDAE61",1,29.73,-114.72,"PtP",10.925375,"#FDAE61",1,29.03,-113.9
2,7,1.383612,"Ctv",3.880886,"#FDAE61",1,29.73,-114.72,"SLG",5.955645,"#FDAE61",1,29.59,-114.4
2,9,2.696431,"Ctv",3.880886,"#FDAE61",1,29.73,-114.72,"SnF",6.325655,"#FDAE61",1,30.76,-114.73
2,16,6.50686,"Ctv",3.880886,"#FDAE61",1,29.73,-114.72,"SenBas",9.116705,"#B1C3D2",2,31.95,-112.87
3,4,12.07282,"LaV",3.5337565,"#FDAE61",1,24.04,-109.99,"Lig",4.731355,"#FDAE61",1,25.73,-111.27
3,5,12.80017,"LaV",3.5337565,"#FDAE61",1,24.04,-109.99,"PtC",4.684652,"#FDAE61",1,24.19,-111.15
3,8,8.49112,"LaV",3.5337565,"#FDAE61",1,24.04,-109.99,"SnE",11.82822,"#FDAE61",1,24.45,-110.7
3,9,10.38688,"LaV",3.5337565,"#FDAE61",1,24.04,-109.99,"SnF",6.325655,"#FDAE61",1,30.76,-114.73
3,12,8.267106,"LaV",3.5337565,"#FDAE61",1,24.04,-109.99,"TsS",5.29057,"#FDAE61",1,23.58,-110.34
4,5,14.22483,"Lig",4.731355,"#FDAE61",1,25.73,-111.27,"PtC",4.684652,"#FDAE61",1,24.19,-111.15
4,10,9.273806,"Lig",4.731355,"#FDAE61",1,25.73,-111.27,"SnI",5.466695,"#FDAE61",1,27.29,-113.02
4,11,9.026984,"Lig",4.731355,"#FDAE61",1,25.73,-111.27,"StR",6.859545,"#FDAE61",1,24.91,-111.62
4,12,12.80184,"Lig",4.731355,"#FDAE61",1,25.73,-111.27,"TsS",5.29057,"#FDAE61",1,23.58,-110.34
5,8,12.39859,"PtC",4.684652,"#FDAE61",1,24.19,-111.15,"SnE",11.82822,"#FDAE61",1,24.45,-110.7
5,11,11.93834,"PtC",4.684652,"#FDAE61",1,24.19,-111.15,"StR",6.859545,"#FDAE61",1,24.91,-111.62
5,12,12.58404,"PtC",4.684652,"#FDAE61",1,24.19,-111.15,"TsS",5.29057,"#FDAE61",1,23.58,-110.34
5,16,13.98413,"PtC",4.684652,"#FDAE61",1,24.19,-111.15,"SenBas",9.116705,"#B1C3D2",2,31.95,-112.87
6,9,2.984673,"PtP",10.925375,"#FDAE61",1,29.03,-113.9,"SnF",6.325655,"#FDAE61",1,30.76,-114.73
6,10,4.434012,"PtP",10.925375,"#FDAE61",1,29.03,-113.9,"SnI",5.466695,"#FDAE61",1,27.29,-113.02
6,16,6.568057,"PtP",10.925375,"#FDAE61",1,29.03,-113.9,"SenBas",9.116705,"#B1C3D2",2,31.95,-112.87
7,9,2.999361,"SLG",5.955645,"#FDAE61",1,29.59,-114.4,"SnF",6.325655,"#FDAE61",1,30.76,-114.73
7,10,4.575605,"SLG",5.955645,"#FDAE61",1,29.59,-114.4,"SnI",5.466695,"#FDAE61",1,27.29,-113.02
8,11,7.570517,"SnE",11.82822,"#FDAE61",1,24.45,-110.7,"StR",6.859545,"#FDAE61",1,24.91,-111.62
8,12,9.94686,"SnE",11.82822,"#FDAE61",1,24.45,-110.7,"TsS",5.29057,"#FDAE61",1,23.58,-110.34
9,10,4.821284,"SnF",6.325655,"#FDAE61",1,30.76,-114.73,"SnI",5.466695,"#FDAE61",1,27.29,-113.02
10,11,7.665717,"SnI",5.466695,"#FDAE61",1,27.29,-113.02,"StR",6.859545,"#FDAE61",1,24.91,-111.62
11,12,10.13719,"StR",6.859545,"#FDAE61",1,24.91,-111.62,"TsS",5.29057,"#FDAE61",1,23.58,-110.34
11,16,9.111798,"StR",6.859545,"#FDAE61",1,24.91,-111.62,"SenBas",9.116705,"#B1C3D2",2,31.95,-112.87
13,17,2.773351,"CP",7.870725,"#B1C3D2",2,27.95,-110.66,"Seri",2.5,"#B1C3D2",2,28.88,-111.96
13,18,3.988562,"CP",7.870725,"#B1C3D2",2,27.95,-110.66,"SG",11.02753,"#B1C3D2",2,29.4,-112.05
13,20,4.143565,"CP",7.870725,"#B1C3D2",2,27.95,-110.66,"SN",8.325785,"#B1C3D2",2,28.82,-111.8
13,21,4.269119,"CP",7.870725,"#B1C3D2",2,27.95,-110.66,"TS",16.001165,"#B1C3D2",2,28.41,-111.37
14,15,2.418533,"LF",8.472215,"#B1C3D2",2,30.68,-112.27,"PL",6.692795,"#B1C3D2",2,30.39,-112.58
14,18,2.854111,"LF",8.472215,"#B1C3D2",2,30.68,-112.27,"SG",11.02753,"#B1C3D2",2,29.4,-112.05
14,19,3.127624,"LF",8.472215,"#B1C3D2",2,30.68,-112.27,"SI",11.52145,"#B1C3D2",2,29.75,-112.5
15,16,9.17615,"PL",6.692795,"#B1C3D2",2,30.39,-112.58,"SenBas",9.116705,"#B1C3D2",2,31.95,-112.87
15,18,3.533888,"PL",6.692795,"#B1C3D2",2,30.39,-112.58,"SG",11.02753,"#B1C3D2",2,29.4,-112.05
15,19,2.915417,"PL",6.692795,"#B1C3D2",2,30.39,-112.58,"SI",11.52145,"#B1C3D2",2,29.75,-112.5
15,20,4.867766,"PL",6.692795,"#B1C3D2",2,30.39,-112.58,"SN",8.325785,"#B1C3D2",2,28.82,-111.8
17,18,3.414492,"Seri",2.5,"#B1C3D2",2,28.88,-111.96,"SG",11.02753,"#B1C3D2",2,29.4,-112.05
17,20,3.569675,"Seri",2.5,"#B1C3D2",2,28.88,-111.96,"SN",8.325785,"#B1C3D2",2,28.82,-111.8
18,19,3.837508,"SG",11.02753,"#B1C3D2",2,29.4,-112.05,"SI",11.52145,"#B1C3D2",2,29.75,-112.5
19,20,4.87534,"SI",11.52145,"#B1C3D2",2,29.75,-112.5,"SN",8.325785,"#B1C3D2",2,28.82,-111.8
19,21,4.558169,"SI",11.52145,"#B1C3D2",2,29.75,-112.5,"TS",16.001165,"#B1C3D2",2,28.41,-111.37
20,21,4.672005,"SN",8.325785,"#B1C3D2",2,28.82,-111.8,"TS",16.001165,"#B1C3D2",2,28.41,-111.37
